#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JXQB01000001.1_667   -            317 1679at2085           -            265   3.3e-81  268.1  13.8   1   1   4.3e-83   4.1e-81  267.8  13.8     3   260     3   277     1   287 0.88 # 812642 # 813592 # 1 # ID=1_667;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.240
JXQB01000001.1_443   -            365 1679at2085           -            265   3.3e-07   25.5   2.8   1   2   4.3e-09   4.1e-07   25.2   0.1   120   154     3    36     1    51 0.87 # 557636 # 558730 # 1 # ID=1_443;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.276
JXQB01000001.1_443   -            365 1679at2085           -            265   3.3e-07   25.5   2.8   2   2      0.28        27   -0.5   0.3    48   110   195   252   187   268 0.61 # 557636 # 558730 # 1 # ID=1_443;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.276
JXQB01000001.1_677   -            434 1679at2085           -            265   2.1e-05   19.6   0.1   1   2   2.2e-07   2.1e-05   19.6   0.1   124   174   164   218   151   228 0.80 # 824648 # 825949 # 1 # ID=1_677;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.264
JXQB01000001.1_677   -            434 1679at2085           -            265   2.1e-05   19.6   0.1   2   2     0.082       7.7    1.3   5.4    50   108   274   336   263   354 0.74 # 824648 # 825949 # 1 # ID=1_677;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.264
JXQB01000001.1_787   -            368 1679at2085           -            265   8.8e-05   17.5  15.6   1   2   9.4e-07   8.8e-05   17.5  15.6    14   144    55   181    50   215 0.78 # 957624 # 958727 # 1 # ID=1_787;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.194
JXQB01000001.1_787   -            368 1679at2085           -            265   8.8e-05   17.5  15.6   2   2      0.36        34   -0.8   1.6   178   233   265   317   218   334 0.77 # 957624 # 958727 # 1 # ID=1_787;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.194
JXQB01000001.1_346   -            151 1679at2085           -            265    0.0054   11.6   7.6   1   2   1.4e-05    0.0013   13.7   2.4   111   150    15    54     1    60 0.79 # 437338 # 437790 # -1 # ID=1_346;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.196
JXQB01000001.1_346   -            151 1679at2085           -            265    0.0054   11.6   7.6   2   2      0.16        15    0.3   1.4    55    87    69   102    52   119 0.49 # 437338 # 437790 # -1 # ID=1_346;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.196
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_GM508D/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_GM508D/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_GM508D/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:27:35 2022
# [ok]
